timestamp,order_id,instrument,side,type,quantity,price,action
1749310479732523258,344,BTCUSD,SELL,LIMIT,861,388.72,NEW
1749310479732532785,236,BTCUSD,BUY,LIMIT,417,907.75,NEW
1749310479732534945,786,TSLA,SELL,LIMIT,234,865.73,NEW
1749310479732535614,85,BTCUSD,BUY,MARKET,180,0.00,NEW
1749310479732537777,440,BTCUSD,SELL,LIMIT,535,721.70,NEW
1749310479732550146,394,EURUSD,BUY,MARKET,71,0.00,NEW
1749310479732551775,986,TSLA,SELL,MARKET,664,0.00,NEW
1749310479732552257,627,TSLA,SELL,LIMIT,413,266.00,NEW
1749310479732552943,315,AAPL,BUY,LIMIT,734,206.23,NEW
1749310479732553622,455,BTCUSD,SELL,MARKET,671,0.00,NEW
1749310479732555272,630,TSLA,BUY,MARKET,870,0.00,NEW
1749310479732558165,211,BTCUSD,SELL,MARKET,459,0.00,NEW
1749310479732560064,920,EURUSD,SELL,MARKET,841,0.00,NEW
1749310479732561461,23,BTCUSD,SELL,MARKET,730,0.00,NEW
1749310479732562291,563,BTCUSD,SELL,LIMIT,185,957.87,NEW
1749310479732564774,448,AAPL,SELL,LIMIT,607,737.78,NEW
1749310479732578597,122,TSLA,BUY,MARKET,175,0.00,NEW
1749310479732580623,769,BTCUSD,BUY,LIMIT,213,377.56,NEW
1749310479732602114,827,BTCUSD,BUY,MARKET,650,0.00,NEW
1749310479732603352,497,EURUSD,BUY,MARKET,769,0.00,NEW
1749310479732604892,870,TSLA,BUY,MARKET,901,0.00,MODIFY
1749310479732605446,456,EURUSD,SELL,MARKET,574,0.00,NEW
1749310479732606192,326,BTCUSD,SELL,LIMIT,547,137.48,NEW
1749310479732607297,80,AAPL,BUY,MARKET,965,0.00,MODIFY
1749310479732607760,871,TSLA,BUY,MARKET,658,0.00,NEW
1749310479732608235,629,EURUSD,BUY,LIMIT,614,832.30,MODIFY
1749310479732609052,97,BTCUSD,BUY,LIMIT,250,229.95,CANCEL
1749310479732609777,870,TSLA,BUY,MARKET,136,0.00,NEW
1749310479732610188,4,AAPL,SELL,MARKET,434,0.00,CANCEL
1749310479732610720,602,BTCUSD,SELL,MARKET,614,0.00,NEW
1749310479732611268,220,EURUSD,SELL,MARKET,197,0.00,CANCEL
1749310479732611714,30,BTCUSD,SELL,LIMIT,831,345.90,MODIFY
1749310479732612452,553,AAPL,SELL,LIMIT,217,351.88,NEW
1749310479732613133,188,TSLA,SELL,LIMIT,852,714.92,NEW
1749310479732613756,441,TSLA,SELL,MARKET,457,0.00,MODIFY
1749310479732614154,864,EURUSD,BUY,LIMIT,192,282.75,NEW
1749310479732614840,611,BTCUSD,BUY,MARKET,106,0.00,CANCEL
1749310479732615250,861,BTCUSD,SELL,LIMIT,414,949.92,NEW
1749310479732625094,910,AAPL,BUY,MARKET,891,0.00,NEW
1749310479732625523,837,AAPL,SELL,LIMIT,13,357.74,CANCEL
1749310479732626149,392,TSLA,SELL,LIMIT,472,699.28,MODIFY
1749310479732626723,142,TSLA,BUY,LIMIT,398,167.75,CANCEL
1749310479732647082,19,EURUSD,BUY,LIMIT,260,362.75,CANCEL
1749310479732648730,538,AAPL,SELL,LIMIT,608,355.15,MODIFY
1749310479732649980,101,TSLA,BUY,MARKET,834,0.00,CANCEL
1749310479732650875,987,BTCUSD,SELL,MARKET,601,0.00,MODIFY
